fid,repDist,prec,apRec,bureau,basicCar,agency,name,shapeLeng,abbrevApr,shapeArea,shapeLength
602,763,7,WILSHIRE,WEST BUREAU,7A53,PD,0763,0.03189013,WILS,894298.41015625,3892.66892346777
603,135,1,CENTRAL,CENTRAL BUREAU,1A35,PD,0135,0.01344428,CENT,163658.69921875,1634.34742942253
604,134,1,CENTRAL,CENTRAL BUREAU,1A41,PD,0134,0.0090539,CENT,73658.4140625,1084.56105750266
605,2064,20,OLYMPIC,WEST BUREAU,20A53,PD,2064,0.01564532,OLYM,228080.84375,1906.58603590616
606,2063,20,OLYMPIC,WEST BUREAU,20A53,PD,2063,0.01704358,OLYM,264976.08203125,2060.69383269452
607,854,8,WEST LOS ANGELES,WEST BUREAU,8A35,PD,0854,0.02003447,WLA,310372.51953125,3039.6436170895
608,279,2,RAMPART,CENTRAL BUREAU,2A91,PD,0279,0.02046953,RAMP,338417.05078125,2432.29552496747
609,822,8,WEST LOS ANGELES,WEST BUREAU,8A1,PD,0822,0.07548685,WLA,2587388.91796875,9054.79357951391
610,823,8,WEST LOS ANGELES,WEST BUREAU,8A1,PD,0823,0.06261947,WLA,3097837.203125,7737.05871537852
611,161,1,CENTRAL,CENTRAL BUREAU,1A61,PD,0161,0.01614626,CENT,205321.8359375,1894.44502547811
612,457,4,HOLLENBECK,CENTRAL BUREAU,4A53,PD,0457,0.02449576,HOBK,466872.65625,2939.59100758955
613,138,1,CENTRAL,CENTRAL BUREAU,1A29,PD,0138,0.02329867,CENT,412673.30859375,2813.28631245797
614,143,1,CENTRAL,CENTRAL BUREAU,1A41,PD,0143,0.00904268,CENT,73752.12109375,1098.36724743851
615,463,4,HOLLENBECK,CENTRAL BUREAU,4A53,PD,0463,0.02252855,HOBK,433655.4375,2800.4606006326
616,887,8,WEST LOS ANGELES,WEST BUREAU,8A95,PD,0887,0.05462792,WLA,2084801.31640625,6712.16347450857
617,285,2,RAMPART,CENTRAL BUREAU,2A91,PD,0285,0.01733806,RAMP,260883.69921875,2079.04367954432
618,459,4,HOLLENBECK,CENTRAL BUREAU,4A59,PD,0459,0.02803257,HOBK,712724.33203125,3469.75427724535
619,764,7,WILSHIRE,WEST BUREAU,7A53,PD,0764,0.02953411,WILS,598212.65234375,3493.68003810214
620,162,1,CENTRAL,CENTRAL BUREAU,1A61,PD,0162,0.02135769,CENT,374434.94140625,2573.54462801484
621,139,1,CENTRAL,CENTRAL BUREAU,1A29,PD,0139,0.02869205,CENT,716523.015625,3475.90246837986
622,144,1,CENTRAL,CENTRAL BUREAU,1A35,PD,0144,0.00651501,CENT,37368.1484375,794.977075065915
623,153,1,CENTRAL,CENTRAL BUREAU,1A41,PD,0153,0.01295183,CENT,145770.95703125,1579.22741027226
624,766,7,WILSHIRE,WEST BUREAU,7A47,PD,0766,0.01850905,WILS,261638.80859375,2208.30108116687
625,464,4,HOLLENBECK,CENTRAL BUREAU,4A71,PD,0464,0.02282621,HOBK,441838.765625,2820.01237730245
626,145,1,CENTRAL,CENTRAL BUREAU,1A35,PD,0145,0.0062765,CENT,33660.890625,768.57853619984
627,767,7,WILSHIRE,WEST BUREAU,7A69,PD,0767,0.01630982,WILS,235523.4296875,1968.52560536609
628,171,1,CENTRAL,CENTRAL BUREAU,1A61,PD,0171,0.0178589,CENT,271527.20703125,2097.67418660788
629,461,4,HOLLENBECK,CENTRAL BUREAU,4A71,PD,0461,0.02729517,HOBK,656039.125,3294.99440479647
630,289,2,RAMPART,CENTRAL BUREAU,2A91,PD,0289,0.0167257,RAMP,248433.28515625,2026.98177409264
631,769,7,WILSHIRE,WEST BUREAU,7A69,PD,0769,0.01904068,WILS,323925.390625,2291.81690389599
632,154,1,CENTRAL,CENTRAL BUREAU,1A35,PD,0154,0.00884692,CENT,73246.5390625,1082.58184174531
633,2079,20,OLYMPIC,WEST BUREAU,20A97,PD,2079,0.02153338,OLYM,341790.08984375,2530.9585136588
634,2076,20,OLYMPIC,WEST BUREAU,20A97,PD,2076,0.03186681,OLYM,962607.703125,3878.29833079205
635,291,2,RAMPART,CENTRAL BUREAU,2A91,PD,0291,0.01960805,RAMP,263318.0703125,2502.31970912206
636,2074,20,OLYMPIC,WEST BUREAU,20A71,PD,2074,0.02490409,OLYM,522922.58203125,3103.23233553443
637,2073,20,OLYMPIC,WEST BUREAU,20A71,PD,2073,0.01482572,OLYM,203022.09375,1800.8437957487
638,2071,20,OLYMPIC,WEST BUREAU,20A71,PD,2071,0.02448973,OLYM,471337.5390625,2898.18566066059
639,776,7,WILSHIRE,WEST BUREAU,7A85,PD,0776,0.03340113,WILS,404864.0390625,4008.17705816453
640,454,4,HOLLENBECK,CENTRAL BUREAU,4A53,PD,0454,0.01479868,HOBK,184158.13671875,1833.03937922818
641,146,1,CENTRAL,CENTRAL BUREAU,1A35,PD,0146,0.00757274,CENT,55113.57421875,918.925564984138
642,889,8,WEST LOS ANGELES,WEST BUREAU,8A59,PD,0889,0.03270513,WLA,914532.44140625,3944.96016772362
643,777,7,WILSHIRE,WEST BUREAU,7A85,PD,0777,0.02550029,WILS,571729.70703125,3103.70766634809
644,775,7,WILSHIRE,WEST BUREAU,7A85,PD,0775,0.02611864,WILS,557027.8046875,3165.32458700142
645,466,4,HOLLENBECK,CENTRAL BUREAU,4A53,PD,0466,0.02351199,HOBK,440073.703125,2809.52488357994
646,884,8,WEST LOS ANGELES,WEST BUREAU,8A35,PD,0884,0.05319888,WLA,1531229.25,6244.17806879101
647,147,1,CENTRAL,CENTRAL BUREAU,1A35,PD,0147,0.00757841,CENT,50248.125,920.858956013356
648,774,7,WILSHIRE,WEST BUREAU,7A85,PD,0774,0.02405844,WILS,469576.55859375,2864.39108178133
649,182,1,CENTRAL,CENTRAL BUREAU,1A61,PD,0182,0.02814865,CENT,723381.98828125,3405.97841572054
650,852,8,WEST LOS ANGELES,WEST BUREAU,8A53,PD,0852,0.0276499,WLA,659502.66015625,3335.74840494788
651,295,2,RAMPART,CENTRAL BUREAU,2A91,PD,0295,0.02126374,RAMP,348287.5390625,2631.06505064268
652,155,1,CENTRAL,CENTRAL BUREAU,1A35,PD,0155,0.00832975,CENT,61774.6484375,996.280736331183
653,164,1,CENTRAL,CENTRAL BUREAU,1A35,PD,0164,0.00856218,CENT,68657.734375,1054.29087551512
654,163,1,CENTRAL,CENTRAL BUREAU,1A85,PD,0163,0.01304978,CENT,150312.3984375,1601.7166158845
655,148,1,CENTRAL,CENTRAL BUREAU,1A29,PD,0148,0.01263125,CENT,119731.46484375,1552.76074876348
656,181,1,CENTRAL,CENTRAL BUREAU,1A61,PD,0181,0.01872446,CENT,277405.5546875,2240.50894043424
657,159,1,CENTRAL,CENTRAL BUREAU,1A29,PD,0159,0.03979644,CENT,1264854.07421875,4877.3741292746
658,773,7,WILSHIRE,WEST BUREAU,7A73,PD,0773,0.03936112,WILS,809272.30078125,4679.08074691696
659,883,8,WEST LOS ANGELES,WEST BUREAU,8A35,PD,0883,0.02499573,WLA,354147.7578125,3116.92954016439
660,156,1,CENTRAL,CENTRAL BUREAU,1A35,PD,0156,0.00858263,CENT,67651.80078125,1042.34821290268
661,778,7,WILSHIRE,WEST BUREAU,7A69,PD,0778,0.02150021,WILS,386844.0390625,2588.40808102322
662,299,2,RAMPART,CENTRAL BUREAU,2A91,PD,0299,0.02397239,RAMP,505017.55859375,2913.88529008461
663,165,1,CENTRAL,CENTRAL BUREAU,1A35,PD,0165,0.00852476,CENT,64775.08984375,1019.31071401286
664,174,1,CENTRAL,CENTRAL BUREAU,1A85,PD,0174,0.0118935,CENT,113463.3359375,1460.54463134241
665,2088,20,OLYMPIC,WEST BUREAU,20A97,PD,2088,0.023155,OLYM,464906.046875,2774.5618676858
666,157,1,CENTRAL,CENTRAL BUREAU,1A29,PD,0157,0.01533768,CENT,201899.125,1884.9835114983
667,882,8,WEST LOS ANGELES,WEST BUREAU,8A53,PD,0882,0.03243598,WLA,969229.7734375,3961.71483813157
668,158,1,CENTRAL,CENTRAL BUREAU,1A29,PD,0158,0.02550305,CENT,433903.9453125,3203.42179851557
669,779,7,WILSHIRE,WEST BUREAU,7A69,PD,0779,0.01920233,WILS,327128.70703125,2311.08195206958
670,2083,20,OLYMPIC,WEST BUREAU,20A71,PD,2083,0.01472271,OLYM,203507.7578125,1810.00540495683
671,2081,20,OLYMPIC,WEST BUREAU,20A71,PD,2081,0.02468224,OLYM,475561.515625,2924.92534168343
672,467,4,HOLLENBECK,CENTRAL BUREAU,4A71,PD,0467,0.03312151,HOBK,941023.0859375,4014.29735848938
673,468,4,HOLLENBECK,CENTRAL BUREAU,4A59,PD,0468,0.03093147,HOBK,883400.73828125,3766.25390150861
674,166,1,CENTRAL,CENTRAL BUREAU,1A35,PD,0166,0.0086494,CENT,68920.29296875,1044.63302236889
675,176,1,CENTRAL,CENTRAL BUREAU,1A85,PD,0176,0.01893872,CENT,321964.3359375,2284.75559097875
676,462,4,HOLLENBECK,CENTRAL BUREAU,4A71,PD,0462,0.02686183,HOBK,377513.45703125,3452.63979080384
677,185,1,CENTRAL,CENTRAL BUREAU,1A85,PD,0185,0.02560089,CENT,594551.640625,3125.88205891764
678,473,4,HOLLENBECK,CENTRAL BUREAU,4A71,PD,0473,0.03165553,HOBK,769235.4375,3989.59890283213
679,471,4,HOLLENBECK,CENTRAL BUREAU,4A71,PD,0471,0.04035114,HOBK,1226129.01953125,5081.5605561534
680,191,1,CENTRAL,CENTRAL BUREAU,1A61,PD,0191,0.02288256,CENT,453245.65625,2876.25764038938
681,783,7,WILSHIRE,WEST BUREAU,7A73,PD,0783,0.03762619,WILS,940235.10546875,4419.85731366065
682,898,8,WEST LOS ANGELES,WEST BUREAU,8A95,PD,0898,0.04553952,WLA,1295736.19140625,5433.75460654341
683,784,7,WILSHIRE,WEST BUREAU,7A73,PD,0784,0.02884551,WILS,736464.2265625,3490.2418605758
684,895,8,WEST LOS ANGELES,WEST BUREAU,8A95,PD,0895,0.03828424,WLA,1355157.18359375,4659.9095036008
685,1307,13,NEWTON,CENTRAL BUREAU,13A9,PD,1307,0.03716747,NEWT,1012184.26171875,4586.39955223517
686,192,1,CENTRAL,CENTRAL BUREAU,1A61,PD,0192,0.02713206,CENT,675117.78515625,3309.67363470148
687,821,8,WEST LOS ANGELES,WEST BUREAU,8A1,PD,0821,0.04331715,WLA,284643.06640625,4888.21013930318
688,469,4,HOLLENBECK,CENTRAL BUREAU,4A59,PD,0469,0.0343073,HOBK,667771.73046875,4337.02427173439
689,785,7,WILSHIRE,WEST BUREAU,7A85,PD,0785,0.03031271,WILS,710532.25,3599.91821186174
690,2099,20,OLYMPIC,WEST BUREAU,20A97,PD,2099,0.02085377,OLYM,343280.26171875,2453.2131435497
691,2097,20,OLYMPIC,WEST BUREAU,20A97,PD,2097,0.02349806,OLYM,390396.62890625,2752.72865418192
692,2093,20,OLYMPIC,WEST BUREAU,20A71,PD,2093,0.02308015,OLYM,371426.61328125,2702.30792385467
693,789,7,WILSHIRE,WEST BUREAU,7A69,PD,0789,0.02791899,WILS,582969.41015625,3285.50530979658
694,2091,20,OLYMPIC,WEST BUREAU,20A71,PD,2091,0.02342358,OLYM,376606.8359375,2751.54168175943
695,788,7,WILSHIRE,WEST BUREAU,7A69,PD,0788,0.02024673,WILS,324917.234375,2445.33410677725
696,787,7,WILSHIRE,WEST BUREAU,7A85,PD,0787,0.02167136,WILS,379923.9453125,2621.65263387352
697,292,2,RAMPART,CENTRAL BUREAU,2A91,PD,0292,0.01185958,RAMP,84719.11328125,1397.92186424943
698,1303,13,NEWTON,CENTRAL BUREAU,13A13,PD,1303,0.03370451,NEWT,893032.1796875,4074.97484556973
699,309,3,SOUTHWEST,SOUTH BUREAU,3A19,PD,0309,0.0145592,SOW,125349.0078125,1720.32328850187
700,308,3,SOUTHWEST,SOUTH BUREAU,3A19,PD,0308,0.0251598,SOW,549157.0625,3081.39236104019
701,893,8,WEST LOS ANGELES,WEST BUREAU,8A35,PD,0893,0.04516807,WLA,1170597.9375,5215.47770436207
702,195,1,CENTRAL,CENTRAL BUREAU,1A85,PD,0195,0.02554375,CENT,592970.80078125,3104.29209298943
703,897,8,WEST LOS ANGELES,WEST BUREAU,8A95,PD,0897,0.03256662,WLA,606578.0859375,3941.09894948577
704,477,4,HOLLENBECK,CENTRAL BUREAU,4A71,PD,0477,0.03409091,HOBK,1081787.5390625,4144.43226576963
705,315,3,SOUTHWEST,SOUTH BUREAU,3A15,PD,0315,0.02959271,SOW,804672.859375,3570.27892316091
706,316,3,SOUTHWEST,SOUTH BUREAU,3A15,PD,0316,0.02618905,SOW,572979.24609375,3120.13703343141
707,318,3,SOUTHWEST,SOUTH BUREAU,3A19,PD,0318,0.02494818,SOW,493362.31640625,3016.3997765825
708,317,3,SOUTHWEST,SOUTH BUREAU,3A15,PD,0317,0.02593873,SOW,554838.5390625,3084.12374244633
709,314,3,SOUTHWEST,SOUTH BUREAU,3A15,PD,0314,0.03578647,SOW,1045502.8515625,4264.62229047379
710,465,4,HOLLENBECK,CENTRAL BUREAU,4A59,PD,0465,0.02140822,HOBK,381769.09375,2565.82169646697
711,871,8,WEST LOS ANGELES,WEST BUREAU,8A1,PD,0871,0.03963221,WLA,303804.4453125,4614.92183127628
712,319,3,SOUTHWEST,SOUTH BUREAU,3A19,PD,0319,0.02633251,SOW,513053.91015625,3279.40791550844
713,1311,13,NEWTON,CENTRAL BUREAU,13A13,PD,1311,0.01191825,NEWT,92726.05859375,1527.58569286658
714,313,3,SOUTHWEST,SOUTH BUREAU,3A15,PD,0313,0.01967695,SOW,317815.1171875,2373.05715089676
715,892,8,WEST LOS ANGELES,WEST BUREAU,8A53,PD,0892,0.0275029,WLA,513184.55859375,3190.47692686785
716,301,3,SOUTHWEST,SOUTH BUREAU,3A1,PD,0301,0.03278177,SOW,372793.234375,3735.7692783561
717,307,3,SOUTHWEST,SOUTH BUREAU,3A31,PD,0307,0.01622382,SOW,183501.6640625,1913.70611503801
718,1309,13,NEWTON,CENTRAL BUREAU,13A9,PD,1309,0.07052918,NEWT,4236583.234375,8767.21248131851
719,305,3,SOUTHWEST,SOUTH BUREAU,3A31,PD,0305,0.0232534,SOW,278345.48046875,2679.25371864179
720,303,3,SOUTHWEST,SOUTH BUREAU,3A1,PD,0303,0.0181438,SOW,176036.73828125,2089.46491787359
721,1313,13,NEWTON,CENTRAL BUREAU,13A13,PD,1313,0.04197337,NEWT,1502574.703125,4998.52936465358
722,1321,13,NEWTON,CENTRAL BUREAU,13A13,PD,1321,0.03662713,NEWT,1222022.1171875,4438.55208130087
723,478,4,HOLLENBECK,CENTRAL BUREAU,4A97,PD,0478,0.03521443,HOBK,1123634.4296875,4280.29524543968
724,325,3,SOUTHWEST,SOUTH BUREAU,3A19,PD,0325,0.02291133,SOW,441574.39453125,2745.73591006178
725,326,3,SOUTHWEST,SOUTH BUREAU,3A15,PD,0326,0.03331054,SOW,703940.5234375,3879.99086017495
726,327,3,SOUTHWEST,SOUTH BUREAU,3A19,PD,0327,0.0176373,SOW,297421.9140625,2144.23609279136
727,333,3,SOUTHWEST,SOUTH BUREAU,3A31,PD,0333,0.02986338,SOW,769801.7734375,3782.89664573019
728,334,3,SOUTHWEST,SOUTH BUREAU,3A31,PD,0334,0.03298615,SOW,953280.44921875,4143.36089749656
729,332,3,SOUTHWEST,SOUTH BUREAU,3A31,PD,0332,0.02681699,SOW,656556.9921875,3396.55355960084
730,331,3,SOUTHWEST,SOUTH BUREAU,3A31,PD,0331,0.03489671,SOW,913222.0078125,4225.98416742379
731,312,3,SOUTHWEST,SOUTH BUREAU,3A1,PD,0312,0.03026263,SOW,776585.1875,3664.11649500698
732,311,3,SOUTHWEST,SOUTH BUREAU,3A1,PD,0311,0.04516052,SOW,1390711.109375,5314.65890553049
733,483,4,HOLLENBECK,CENTRAL BUREAU,4A71,PD,0483,0.00914483,HOBK,70431.4765625,1139.22638914357
734,1317,13,NEWTON,CENTRAL BUREAU,13A9,PD,1317,0.04119706,NEWT,1523802.77734375,5088.43531846389
735,896,8,WEST LOS ANGELES,WEST BUREAU,8A95,PD,0896,0.00840116,WLA,54065.85546875,1007.81715692645
736,328,3,SOUTHWEST,SOUTH BUREAU,3A19,PD,0328,0.02861403,SOW,711036.8125,3539.80005614186
737,336,3,SOUTHWEST,SOUTH BUREAU,3A31,PD,0336,0.02807562,SOW,691781.62890625,3372.30304451345
738,487,4,HOLLENBECK,CENTRAL BUREAU,4A97,PD,0487,0.0241442,HOBK,397915.46875,2863.14957250631
739,335,3,SOUTHWEST,SOUTH BUREAU,3A31,PD,0335,0.02931818,SOW,644173.88671875,3452.82450964057
740,479,4,HOLLENBECK,CENTRAL BUREAU,4A97,PD,0479,0.0290006,HOBK,771647.3515625,3577.36917970558
741,491,4,HOLLENBECK,CENTRAL BUREAU,4A97,PD,0491,0.03885454,HOBK,954236.609375,4984.76834467021
742,337,3,SOUTHWEST,SOUTH BUREAU,3A15,PD,0337,0.03317067,SOW,700605.49609375,3864.63154225496
743,1427,14,PACIFIC,WEST BUREAU,14A27,PD,1427,0.0300739,PAC,722962.390625,3690.18432678645
744,338,3,SOUTHWEST,SOUTH BUREAU,3A57,PD,0338,0.03238839,SOW,591747.67578125,3804.76208863846
745,329,3,SOUTHWEST,SOUTH BUREAU,3A19,PD,0329,0.01836753,SOW,200127.8125,2307.57300757065
746,489,4,HOLLENBECK,CENTRAL BUREAU,4A97,PD,0489,0.02867468,HOBK,418896.90625,3408.01467303781
747,1322,13,NEWTON,CENTRAL BUREAU,13A13,PD,1322,0.02135978,NEWT,412526.171875,2625.12770794435
748,1331,13,NEWTON,CENTRAL BUREAU,13A41,PD,1331,0.03422935,NEWT,1061632.01171875,4148.1310430722
749,1426,14,PACIFIC,WEST BUREAU,14A25,PD,1426,0.02345621,PAC,220016.78515625,2907.88490934068
750,321,3,SOUTHWEST,SOUTH BUREAU,3A1,PD,0321,0.05337072,SOW,1365288.05078125,6128.59386955785
751,488,4,HOLLENBECK,CENTRAL BUREAU,4A97,PD,0488,0.02568436,HOBK,450470.4375,3035.21360851916
752,1425,14,PACIFIC,WEST BUREAU,14A25,PD,1425,0.0350797,PAC,1079403.859375,4228.42654499669
753,1323,13,NEWTON,CENTRAL BUREAU,13A13,PD,1323,0.02667761,NEWT,622251.8359375,3228.32917971332
754,354,3,SOUTHWEST,SOUTH BUREAU,3A55,PD,0354,0.03451458,SOW,1059613.93359375,4147.70581762666
755,355,3,SOUTHWEST,SOUTH BUREAU,3A55,PD,0355,0.03288038,SOW,956220.140625,3977.96582263806
756,356,3,SOUTHWEST,SOUTH BUREAU,3A55,PD,0356,0.03164107,SOW,929330.94140625,3852.16577197487
757,357,3,SOUTHWEST,SOUTH BUREAU,3A57,PD,0357,0.03157268,SOW,927105.296875,3850.21131088636
758,358,3,SOUTHWEST,SOUTH BUREAU,3A57,PD,0358,0.03291811,SOW,958395.82421875,3936.55972816541
759,497,4,HOLLENBECK,CENTRAL BUREAU,4A97,PD,0497,0.06008131,HOBK,2145313.08203125,7354.08992070264
760,351,3,SOUTHWEST,SOUTH BUREAU,3A31,PD,0351,0.02460669,SOW,414786.48046875,2869.96307647362
761,353,3,SOUTHWEST,SOUTH BUREAU,3A31,PD,0353,0.03228625,SOW,813672.90625,3827.65389779821
762,1324,13,NEWTON,CENTRAL BUREAU,13A27,PD,1324,0.01987261,NEWT,356682.15234375,2389.99834625538
763,499,4,HOLLENBECK,CENTRAL BUREAU,4A97,PD,0499,0.03854917,HOBK,1316516.0234375,4697.55041048537
764,373,3,SOUTHWEST,SOUTH BUREAU,3A73,PD,0373,0.03826467,SOW,1302912.11328125,4760.30558085869
765,1333,13,NEWTON,CENTRAL BUREAU,13A43,PD,1333,0.03732139,NEWT,1145488.484375,4473.56085608668
766,341,3,SOUTHWEST,SOUTH BUREAU,3A41,PD,0341,0.08727585,SOW,2773929.7578125,10569.7853804962
767,359,3,SOUTHWEST,SOUTH BUREAU,3A57,PD,0359,0.0260988,SOW,329646.96875,3371.53721697412
768,343,3,SOUTHWEST,SOUTH BUREAU,3A41,PD,0343,0.02722192,SOW,510569.9375,3187.87567036814
769,361,3,SOUTHWEST,SOUTH BUREAU,3A41,PD,0361,0.02778407,SOW,646436.5703125,3480.33107350749
770,362,3,SOUTHWEST,SOUTH BUREAU,3A63,PD,0362,0.03867974,SOW,836329.3203125,4688.86190693662
771,1341,13,NEWTON,CENTRAL BUREAU,13A41,PD,1341,0.0316052,NEWT,905218.2265625,3934.06496293799
772,1327,13,NEWTON,CENTRAL BUREAU,13A27,PD,1327,0.02587348,NEWT,504223.26953125,3045.60249207869
773,1325,13,NEWTON,CENTRAL BUREAU,13A27,PD,1325,0.02138334,NEWT,400855.234375,2611.41625277474
774,374,3,SOUTHWEST,SOUTH BUREAU,3A73,PD,0374,0.0369099,SOW,1171803.01953125,4486.51161058023
775,1342,13,NEWTON,CENTRAL BUREAU,13A41,PD,1342,0.02707896,NEWT,689313.29296875,3288.86955929876
776,376,3,SOUTHWEST,SOUTH BUREAU,3A55,PD,0376,0.03258573,SOW,984991.96875,3980.07306639015
777,377,3,SOUTHWEST,SOUTH BUREAU,3A57,PD,0377,0.02361081,SOW,481883.375,2967.1049413132
778,379,3,SOUTHWEST,SOUTH BUREAU,3A57,PD,0379,0.02369871,SOW,486040.80859375,2979.34446920449
779,363,3,SOUTHWEST,SOUTH BUREAU,3A63,PD,0363,0.04480782,SOW,1631381.5546875,5461.85235729594
780,378,3,SOUTHWEST,SOUTH BUREAU,3A57,PD,0378,0.03310521,SOW,959328.74609375,4000.69292901629
781,375,3,SOUTHWEST,SOUTH BUREAU,3A55,PD,0375,0.0311775,SOW,907052.984375,3815.12938205254
782,1326,13,NEWTON,CENTRAL BUREAU,13A27,PD,1326,0.01596831,NEWT,241639.6953125,1948.24588518292
783,1347,13,NEWTON,CENTRAL BUREAU,13A27,PD,1347,0.04426739,NEWT,1451219.109375,5434.75227633025
784,1343,13,NEWTON,CENTRAL BUREAU,13A43,PD,1343,0.03474569,NEWT,796152.4375,4130.88513681705
785,1345,13,NEWTON,CENTRAL BUREAU,13A27,PD,1345,0.0276587,NEWT,601657.609375,3397.98345807474
786,391,3,SOUTHWEST,SOUTH BUREAU,3A41,PD,0391,0.05920457,SOW,2024145.46875,7196.13145986867
787,398,3,SOUTHWEST,SOUTH BUREAU,3A99,PD,0398,0.0236634,SOW,495439.43359375,2975.12556000433
788,1354,13,NEWTON,CENTRAL BUREAU,13A41,PD,1354,0.02340136,NEWT,405616.5,2923.20568052711
789,1351,13,NEWTON,CENTRAL BUREAU,13A41,PD,1351,0.02866898,NEWT,770073.59765625,3530.86843858008
790,399,3,SOUTHWEST,SOUTH BUREAU,3A99,PD,0399,0.01810933,SOW,184973.0703125,2349.68934562641
791,396,3,SOUTHWEST,SOUTH BUREAU,3A99,PD,0396,0.02327938,SOW,471053.03125,2921.39809442562
792,393,3,SOUTHWEST,SOUTH BUREAU,3A73,PD,0393,0.03744962,SOW,1267748.6484375,4487.23781306455
793,1434,14,PACIFIC,WEST BUREAU,14A25,PD,1434,0.04501582,PAC,1721599.20703125,5421.39143635484
794,394,3,SOUTHWEST,SOUTH BUREAU,3A73,PD,0394,0.02707787,SOW,641090.84765625,3335.26850964039
795,395,3,SOUTHWEST,SOUTH BUREAU,3A99,PD,0395,0.03936403,SOW,1340128.296875,4711.3034912626
796,397,3,SOUTHWEST,SOUTH BUREAU,3A99,PD,0397,0.04033663,SOW,1393289.03515625,4821.14101988347
797,1344,13,NEWTON,CENTRAL BUREAU,13A43,PD,1344,0.03276389,NEWT,494966.44140625,3779.01163825211
798,1346,13,NEWTON,CENTRAL BUREAU,13A27,PD,1346,0.02801718,NEWT,535078.6328125,3354.95245082346
799,1353,13,NEWTON,CENTRAL BUREAU,13A43,PD,1353,0.02927927,NEWT,771443.76171875,3546.00385104464
800,1352,13,NEWTON,CENTRAL BUREAU,13A61,PD,1352,0.02810539,NEWT,653186.875,3390.84650143665
801,1433,14,PACIFIC,WEST BUREAU,14A25,PD,1433,0.03336032,PAC,995703.44921875,4024.25769025916
802,1364,13,NEWTON,CENTRAL BUREAU,13A75,PD,1364,0.0268901,NEWT,590030.96875,3408.19168698301
803,1367,13,NEWTON,CENTRAL BUREAU,13A75,PD,1367,0.03652846,NEWT,1234775.72265625,4483.55206321376
804,1365,13,NEWTON,CENTRAL BUREAU,13A75,PD,1365,0.02685731,NEWT,590671.4375,3415.76161390504
805,1361,13,NEWTON,CENTRAL BUREAU,13A61,PD,1361,0.03012734,NEWT,841823.796875,3743.62142822684
806,1209,12,77TH STREET,SOUTH BUREAU,12A15,PD,1209,0.0198886,77TH,222742.7890625,2585.17116960061
807,1204,12,77TH STREET,SOUTH BUREAU,12A3,PD,1204,0.03421635,77TH,768096.42578125,4003.04940360465
808,1208,12,77TH STREET,SOUTH BUREAU,12A15,PD,1208,0.02489486,77TH,530687.09375,3142.52928727733
809,1207,12,77TH STREET,SOUTH BUREAU,12A15,PD,1207,0.02561867,77TH,552999.26171875,3237.73162942212
810,1362,13,NEWTON,CENTRAL BUREAU,13A61,PD,1362,0.02915108,NEWT,733797.5546875,3504.30137726294
811,1363,13,NEWTON,CENTRAL BUREAU,13A61,PD,1363,0.02745266,NEWT,651190.9375,3296.75726387186
812,1205,12,77TH STREET,SOUTH BUREAU,12A3,PD,1205,0.03609137,77TH,915133.17578125,4250.62494338824
813,1432,14,PACIFIC,WEST BUREAU,14A13,PD,1432,0.03286881,PAC,834056.05859375,3913.10823332907
814,1457,14,PACIFIC,WEST BUREAU,14A49,PD,1457,0.0363904,PAC,903695.2890625,4483.73306709633
815,1468,14,PACIFIC,WEST BUREAU,14A49,PD,1468,0.01844213,PAC,333858.32421875,2257.93327682264
816,1373,13,NEWTON,CENTRAL BUREAU,13A85,PD,1373,0.03080737,NEWT,848700.9296875,3688.33761337684
817,1371,13,NEWTON,CENTRAL BUREAU,13A85,PD,1371,0.02624202,NEWT,629553.3984375,3227.8110580392
818,1218,12,77TH STREET,SOUTH BUREAU,12A15,PD,1218,0.03080429,77TH,835955.19140625,3720.77598775809
819,1219,12,77TH STREET,SOUTH BUREAU,12A15,PD,1219,0.01758023,77TH,214547.4765625,2247.66411263521
820,1372,13,NEWTON,CENTRAL BUREAU,13A85,PD,1372,0.02959437,NEWT,786147.8046875,3559.04472037018
821,1215,12,77TH STREET,SOUTH BUREAU,12A15,PD,1215,0.0381346,77TH,1152577.56640625,4494.35347824776
822,1375,13,NEWTON,CENTRAL BUREAU,13A75,PD,1375,0.02838231,NEWT,712231,3408.02213941135
823,1377,13,NEWTON,CENTRAL BUREAU,13A75,PD,1377,0.03042233,NEWT,783789.9765625,3632.55191290532
824,1431,14,PACIFIC,WEST BUREAU,14A11,PD,1431,0.03354967,PAC,848771.88671875,3988.14701964285
825,1385,13,NEWTON,CENTRAL BUREAU,13A85,PD,1385,0.0417033,NEWT,1411098.609375,4908.73216518876
826,1383,13,NEWTON,CENTRAL BUREAU,13A93,PD,1383,0.03067274,NEWT,882156.06640625,3726.50059400423
827,1381,13,NEWTON,CENTRAL BUREAU,13A93,PD,1381,0.0161357,NEWT,194979.45703125,2081.56324188922
828,1239,12,77TH STREET,SOUTH BUREAU,12A49,PD,1239,0.04335944,77TH,1323729.2421875,5113.30330151407
829,1248,12,77TH STREET,SOUTH BUREAU,12A49,PD,1248,0.02720234,77TH,611803.07421875,3429.82916975546
830,1391,13,NEWTON,CENTRAL BUREAU,13A93,PD,1391,0.02194951,NEWT,317624.38671875,2845.24798203242
831,1249,12,77TH STREET,SOUTH BUREAU,12A49,PD,1249,0.03007321,77TH,811127.19140625,3735.97224767181
