fid,repDist,prec,apRec,bureau,basicCar,agency,name,shapeLeng,abbrevApr,shapeArea,shapeLength
465,1199,11,NORTHEAST,CENTRAL BUREAU,11A95,PD,1199,0.01512915,NOE,177059.140625,1866.3814647481
466,215,2,RAMPART,CENTRAL BUREAU,2A5,PD,0215,0.03110072,RAMP,590882.67578125,3672.40355433923
467,415,4,HOLLENBECK,CENTRAL BUREAU,4A15,PD,0415,0.02735189,HOBK,576170.37109375,3261.84298617617
468,221,2,RAMPART,CENTRAL BUREAU,2A1,PD,0221,0.02290498,RAMP,355449.82421875,2675.08457038227
469,818,8,WEST LOS ANGELES,WEST BUREAU,8A29,PD,0818,0.06143047,WLA,2330671.546875,7529.23431005676
470,812,8,WEST LOS ANGELES,WEST BUREAU,8A13,PD,0812,0.08712898,WLA,3822021.1328125,10789.2864757431
471,217,2,RAMPART,CENTRAL BUREAU,2A17,PD,0217,0.02949245,RAMP,589099.48828125,3649.52433389962
472,218,2,RAMPART,CENTRAL BUREAU,2A39,PD,0218,0.03240868,RAMP,1005637.31640625,4004.60040835091
473,424,4,HOLLENBECK,CENTRAL BUREAU,4A15,PD,0424,0.04928743,HOBK,1403377.01953125,5975.14255283511
474,2019,20,OLYMPIC,WEST BUREAU,20A39,PD,2019,0.03164379,OLYM,843300.921875,3859.23527819056
475,2015,20,OLYMPIC,WEST BUREAU,20A25,PD,2015,0.02455942,OLYM,463653.5625,2890.80107417347
476,727,7,WILSHIRE,WEST BUREAU,7A17,PD,0727,0.03321006,WILS,1023891.15234375,4031.39187081777
477,725,7,WILSHIRE,WEST BUREAU,7A33,PD,0725,0.02174534,WILS,427207.89453125,2718.83497490934
478,726,7,WILSHIRE,WEST BUREAU,7A17,PD,0726,0.02322971,WILS,488778.69140625,2915.19436036662
479,724,7,WILSHIRE,WEST BUREAU,7A33,PD,0724,0.02690055,WILS,637240.03125,3235.73404613887
480,729,7,WILSHIRE,WEST BUREAU,7A17,PD,0729,0.04140163,WILS,1420429.0703125,4933.31059080714
481,2014,20,OLYMPIC,WEST BUREAU,20A13,PD,2014,0.02478106,OLYM,556672.30859375,3089.19455719672
482,2011,20,OLYMPIC,WEST BUREAU,20A1,PD,2011,0.04042554,OLYM,1330855.51953125,4831.17452930769
483,2013,20,OLYMPIC,WEST BUREAU,20A13,PD,2013,0.02183142,OLYM,394277.51171875,2772.17845365783
484,723,7,WILSHIRE,WEST BUREAU,7A21,PD,0723,0.03073449,WILS,853082.77734375,3729.33580837428
485,105,1,CENTRAL,CENTRAL BUREAU,1A1,PD,0105,0.02876805,CENT,517858.69140625,3506.08198869187
486,231,2,RAMPART,CENTRAL BUREAU,2A5,PD,0231,0.02449719,RAMP,515531.30859375,3047.77558083442
487,437,4,HOLLENBECK,CENTRAL BUREAU,4A59,PD,0437,0.05757481,HOBK,2845435.98046875,6996.57390148221
488,439,4,HOLLENBECK,CENTRAL BUREAU,4A9,PD,0439,0.06595647,HOBK,2493929.046875,7968.66768039506
489,101,1,CENTRAL,CENTRAL BUREAU,1A1,PD,0101,0.03958342,CENT,972847.19140625,4752.60650464
490,219,2,RAMPART,CENTRAL BUREAU,2A39,PD,0219,0.03247226,RAMP,684276.03125,4101.07093894559
491,233,2,RAMPART,CENTRAL BUREAU,2A17,PD,0233,0.0243993,RAMP,469095.296875,3004.33853825623
492,422,4,HOLLENBECK,CENTRAL BUREAU,4A15,PD,0422,0.03306349,HOBK,948147.3125,3952.2224274129
493,421,4,HOLLENBECK,CENTRAL BUREAU,4A15,PD,0421,0.04175009,HOBK,1413106.9140625,5126.86405898501
494,828,8,WEST LOS ANGELES,WEST BUREAU,8A29,PD,0828,0.04001433,WLA,1091748.390625,4883.75227831601
495,2016,20,OLYMPIC,WEST BUREAU,20A25,PD,2016,0.01500694,OLYM,210496.65234375,1849.89482201257
496,2017,20,OLYMPIC,WEST BUREAU,20A25,PD,2017,0.01725264,OLYM,273010.70703125,2097.90727791172
497,235,2,RAMPART,CENTRAL BUREAU,2A17,PD,0235,0.02871332,RAMP,736884.80859375,3520.38076691283
498,118,1,CENTRAL,CENTRAL BUREAU,1A1,PD,0118,0.03919142,CENT,1384282.6015625,4783.9843796352
499,734,7,WILSHIRE,WEST BUREAU,7A33,PD,0734,0.03945867,WILS,1181417.0546875,4666.26461186759
500,837,8,WEST LOS ANGELES,WEST BUREAU,8A29,PD,0837,0.01723484,WLA,190435.703125,2173.74129403989
501,732,7,WILSHIRE,WEST BUREAU,7A21,PD,0732,0.03129391,WILS,868231.32421875,3761.11491653008
502,736,7,WILSHIRE,WEST BUREAU,7A17,PD,0736,0.01469875,WILS,195775.87109375,1830.35678607193
503,2026,20,OLYMPIC,WEST BUREAU,20A25,PD,2026,0.01724136,OLYM,272075.13671875,2090.2405041632
504,2029,20,OLYMPIC,WEST BUREAU,20A39,PD,2029,0.0319332,OLYM,829020.0546875,3875.11921178357
505,739,7,WILSHIRE,WEST BUREAU,7A17,PD,0739,0.03074226,WILS,846014.70703125,3727.80548773212
506,737,7,WILSHIRE,WEST BUREAU,7A17,PD,0737,0.02382994,WILS,414470.15625,3026.57416224651
507,2025,20,OLYMPIC,WEST BUREAU,20A25,PD,2025,0.01468496,OLYM,201674.1328125,1802.15053425833
508,738,7,WILSHIRE,WEST BUREAU,7A17,PD,0738,0.03671405,WILS,1202851.484375,4463.08608461754
509,2023,20,OLYMPIC,WEST BUREAU,20A13,PD,2023,0.02476472,OLYM,478206.1953125,2932.83153385866
510,2022,20,OLYMPIC,WEST BUREAU,20A1,PD,2022,0.02465794,OLYM,508762.46875,3105.27846667509
511,2021,20,OLYMPIC,WEST BUREAU,20A1,PD,2021,0.03471172,OLYM,985820.96875,4208.15317220772
512,237,2,RAMPART,CENTRAL BUREAU,2A39,PD,0237,0.03971684,RAMP,1037916.2890625,4868.21359749456
513,241,2,RAMPART,CENTRAL BUREAU,2A45,PD,0241,0.01677922,RAMP,249230.93359375,2082.52190766294
514,238,2,RAMPART,CENTRAL BUREAU,2A39,PD,0238,0.02653974,RAMP,619042.6484375,3295.22936121678
515,111,1,CENTRAL,CENTRAL BUREAU,1A1,PD,0111,0.04267209,CENT,1456159.77734375,5251.49353681315
516,423,4,HOLLENBECK,CENTRAL BUREAU,4A15,PD,0423,0.03139844,HOBK,646300.2890625,3772.31160986992
517,251,2,RAMPART,CENTRAL BUREAU,2A45,PD,0251,0.02027652,RAMP,238058.19921875,2543.12688051876
518,245,2,RAMPART,CENTRAL BUREAU,2A45,PD,0245,0.02792997,RAMP,699719.2734375,3421.74409890402
519,443,4,HOLLENBECK,CENTRAL BUREAU,4A15,PD,0443,0.04358073,HOBK,1669141.62890625,5194.79145467686
520,2027,20,OLYMPIC,WEST BUREAU,20A45,PD,2027,0.02469529,OLYM,472224.06640625,2908.86188382533
521,2024,20,OLYMPIC,WEST BUREAU,20A33,PD,2024,0.02474549,OLYM,473436.29296875,2917.16828226617
522,733,7,WILSHIRE,WEST BUREAU,7A33,PD,0733,0.02433243,WILS,342781.7109375,2810.48940838927
523,735,7,WILSHIRE,WEST BUREAU,7A33,PD,0735,0.02374384,WILS,344103.8046875,2841.14377210627
524,239,2,RAMPART,CENTRAL BUREAU,2A39,PD,0239,0.02175216,RAMP,344716.63671875,2701.38701360565
525,834,8,WEST LOS ANGELES,WEST BUREAU,8A29,PD,0834,0.04121672,WLA,1403866.48046875,5110.41609976655
526,817,8,WEST LOS ANGELES,WEST BUREAU,8A29,PD,0817,0.02297561,WLA,389017.0625,2791.39118273641
527,448,4,HOLLENBECK,CENTRAL BUREAU,4A59,PD,0448,0.03505533,HOBK,939905.46875,4296.81983747764
528,826,8,WEST LOS ANGELES,WEST BUREAU,8A13,PD,0826,0.03612587,WLA,890507.76953125,4457.00413591746
529,441,4,HOLLENBECK,CENTRAL BUREAU,4A15,PD,0441,0.04235459,HOBK,1201954.9140625,5105.98684231006
530,743,7,WILSHIRE,WEST BUREAU,7A33,PD,0743,0.03446985,WILS,1033339.62890625,4174.37704034142
531,246,2,RAMPART,CENTRAL BUREAU,2A47,PD,0246,0.02078745,RAMP,230062.65234375,2584.97788730364
532,121,1,CENTRAL,CENTRAL BUREAU,1A1,PD,0121,0.01573031,CENT,172277.91796875,1905.72965928224
533,745,7,WILSHIRE,WEST BUREAU,7A33,PD,0745,0.04220096,WILS,1402653.125,5141.8812478834
534,119,1,CENTRAL,CENTRAL BUREAU,1A1,PD,0119,0.03678643,CENT,1272365.4765625,4467.04265438038
535,749,7,WILSHIRE,WEST BUREAU,7A47,PD,0749,0.04152123,WILS,1282650.83203125,4967.05759614087
536,2038,20,OLYMPIC,WEST BUREAU,20A39,PD,2038,0.01322273,OLYM,156359.9296875,1669.47048808936
537,2039,20,OLYMPIC,WEST BUREAU,20A39,PD,2039,0.0187475,OLYM,311340.82421875,2270.04784581103
538,247,2,RAMPART,CENTRAL BUREAU,2A47,PD,0247,0.01367492,RAMP,164706.75390625,1673.1614557778
539,2036,20,OLYMPIC,WEST BUREAU,20A45,PD,2036,0.01560428,OLYM,226607.203125,1913.69944342079
540,2035,20,OLYMPIC,WEST BUREAU,20A45,PD,2035,0.01871252,OLYM,292967.97265625,2260.04036448172
541,2033,20,OLYMPIC,WEST BUREAU,20A33,PD,2033,0.02432945,OLYM,532083.4921875,3037.27380755297
542,2034,20,OLYMPIC,WEST BUREAU,20A33,PD,2034,0.01752564,OLYM,236196.26953125,2130.54823401607
543,2031,20,OLYMPIC,WEST BUREAU,20A53,PD,2031,0.02633507,OLYM,522236.59765625,3084.12343248206
544,747,7,WILSHIRE,WEST BUREAU,7A47,PD,0747,0.03398159,WILS,988091.05859375,4123.60643241722
545,248,2,RAMPART,CENTRAL BUREAU,2A69,PD,0248,0.02017363,RAMP,284964.0546875,2460.55667797299
546,112,1,CENTRAL,CENTRAL BUREAU,1A1,PD,0112,0.02376946,CENT,242526.62890625,2869.06545129134
547,442,4,HOLLENBECK,CENTRAL BUREAU,4A15,PD,0442,0.0333055,HOBK,571386.19140625,3948.64400787944
548,261,2,RAMPART,CENTRAL BUREAU,2A45,PD,0261,0.01927019,RAMP,315620.640625,2355.71337667845
549,257,2,RAMPART,CENTRAL BUREAU,2A69,PD,0257,0.02507169,RAMP,445312.00390625,3094.07121154487
550,122,1,CENTRAL,CENTRAL BUREAU,1A1,PD,0122,0.01876802,CENT,298354.6875,2241.10395300224
551,752,7,WILSHIRE,WEST BUREAU,7A53,PD,0752,0.03552531,WILS,1080837.78515625,4249.78622792706
552,836,8,WEST LOS ANGELES,WEST BUREAU,8A35,PD,0836,0.04198708,WLA,1525297.16796875,5068.16432205296
553,2041,20,OLYMPIC,WEST BUREAU,20A53,PD,2041,0.032374,OLYM,688429.6015625,3929.14308108567
554,256,2,RAMPART,CENTRAL BUREAU,2A47,PD,0256,0.0172572,RAMP,266993.921875,2074.50577807658
555,131,1,CENTRAL,CENTRAL BUREAU,1A1,PD,0131,0.01077701,CENT,91894.10546875,1297.43869215067
556,753,7,WILSHIRE,WEST BUREAU,7A53,PD,0753,0.02827582,WILS,725683.3125,3462.22972073132
